author_id;username;id;created_at(utc);lang;tweet;tweetcount;followers;following;url
603903359;kamzira;1505511913794514946;20/03/2022 11:49:45;fr;RT @voxafrica: Depuis la suspension de #France24 et #RFI par le #Mali, la France est montée au créneau pour dénoncer une atteinte à la libe…;7029;495;2509;https://twitter.com/twitter/status/1505511913794514946
1402746085;schellhor;1505511889547284488;20/03/2022 11:49:40;en;RT @TomCollina: 🧵My take on #Ukraine No-Fly-Zone in @nytimes today. We should do more to help Ukraine and not make a tragic situation worse…;61032;2511;4466;https://twitter.com/twitter/status/1505511889547284488
379141625;nacho_etche;1505511881699692544;20/03/2022 11:49:38;es;RT @pmarsupia: Un vehículo TOS-1A ruso lanzando armas termobáricas. (Grabado por el canal estatal ruso Russia Today).  Ya da bastante miedo…;25945;547;731;https://twitter.com/twitter/status/1505511881699692544
1484264091434766344;adelewinters16;1505511875806732295;20/03/2022 11:49:36;en;RT @MedvedevRussiaE: Today, some French minister has said that they declared an economic war on Russia. Watch your tongue, gentlemen! And d…;5;0;31;https://twitter.com/twitter/status/1505511875806732295
1464371281680343042;HangingWFinn;1505511866231148544;20/03/2022 11:49:34;en;he was the reason Russia’s president is the way he is today . https://t.co/xrGzWeBN95;442;58;1;https://twitter.com/twitter/status/1505511866231148544
1104405600;Argillano;1505511861810302978;20/03/2022 11:49:33;en;RT @EuromaidanPR: The Ministry of Defense of #Russia provided evidence of the use of Homel airport for strikes on #Ukraine. A video publish…;198105;306;267;https://twitter.com/twitter/status/1505511861810302978
1242886622913409027;Minniemax4;1505511845251235846;20/03/2022 11:49:29;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;7967;89;55;https://twitter.com/twitter/status/1505511845251235846
872061691181363201;BoberNina;1505511840754937862;20/03/2022 11:49:28;en;@alexwuerzbach Today, your children live a happy life, at a time when civilians and children are dying every day in Ukraine. Everyone knows that Mercedes, BMW, Adidas, Metro, Henkel continue to finance russia. Stop it now, because after putin does not stop, and then it will go to your country.;202;3;22;https://twitter.com/twitter/status/1505511840754937862
92880188;JanisBernats;1505511831942619143;20/03/2022 11:49:26;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;23603;1549;1777;https://twitter.com/twitter/status/1505511831942619143
961225712;IsabelGasco;1505511826745872385;20/03/2022 11:49:25;es;RT @pmarsupia: Un vehículo TOS-1A ruso lanzando armas termobáricas. (Grabado por el canal estatal ruso Russia Today).  Ya da bastante miedo…;5499;149;735;https://twitter.com/twitter/status/1505511826745872385
935619995614285830;Liberty7Usa;1505511824506163200;20/03/2022 11:49:24;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;8214;63;382;https://twitter.com/twitter/status/1505511824506163200
1496861223463305228;PiretOper;1505511815312289792;20/03/2022 11:49:22;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;935;41;47;https://twitter.com/twitter/status/1505511815312289792
1337311367490019329;squirrelpalooza;1505511804553756673;20/03/2022 11:49:19;en;RT @simulacrax: NATO would do to Russia what it did to Libya or Yugoslavia if it had the chance. It would kill Putin if it had the chance.…;47921;1602;2696;https://twitter.com/twitter/status/1505511804553756673
405407239;DavidWMcDuff;1505511800632139776;20/03/2022 11:49:18;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;69517;1391;2315;https://twitter.com/twitter/status/1505511800632139776
833097392643723264;Cloudydays1416;1505511788808396802;20/03/2022 11:49:16;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;88791;195;2181;https://twitter.com/twitter/status/1505511788808396802
16969385;occono;1505511782382776332;20/03/2022 11:49:14;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;42461;592;2960;https://twitter.com/twitter/status/1505511782382776332
3380524985;1f22397d332a437;1505511781153787906;20/03/2022 11:49:14;en;RT @simulacrax: NATO would do to Russia what it did to Libya or Yugoslavia if it had the chance. It would kill Putin if it had the chance.…;34727;837;2314;https://twitter.com/twitter/status/1505511781153787906
110528232;Olavivo;1505511767979479040;20/03/2022 11:49:11;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;2503;21;158;https://twitter.com/twitter/status/1505511767979479040
1501896198311010305;KonradCorado;1505511763961421824;20/03/2022 11:49:10;uk;RT @ObserwatorXY: Якщо хтось із України прочитає мене: не вірте «Wiadomości» TVP, тому що це телевізійна станція, подібна до Russia Today,…;20;3;92;https://twitter.com/twitter/status/1505511763961421824
355121191;Orion5710;1505511753614229507;20/03/2022 11:49:07;pl;RT @Tamara10612: @tvp_info To, że jest wojna w Ukrainie nie zmienia faktu, że w PL jest dyktatura, a tvp jest konkurencją dla russia today.;62545;2397;1247;https://twitter.com/twitter/status/1505511753614229507
3975756309;OskWars;1505511745942695937;20/03/2022 11:49:05;ro;RT @TpyxaNews: ❗️Avdiivka today.  #Ukraine #Russia #Kyiv #Odessa #Kharkiv #TPYXA #TPYXAEnglish https://t.co/ryF05GBCWs;256838;3084;4992;https://twitter.com/twitter/status/1505511745942695937
4524510263;amandarees9;1505511740359987208;20/03/2022 11:49:04;en;RT @DLidington: In the light of comments today just reposting this of Maidan, Kyiv, 5 December 2013: I think Ukrainians understand fully th…;18645;1908;2405;https://twitter.com/twitter/status/1505511740359987208
