author id;created_at;geo;id;lang;like_count;quote_count;reply_count;retweet_count;source;tweet;tweettype;username;tweetcount;followers;following
1472252885052399617;2021-12-29 23:59:59+00:00; ;1476342263374569478;en;0;0;0;46059;Twitter Web App;RT @BombCryptoGame: ✨🎄Lucky Xmas Gift Event🎄✨  On the occasion of Christmas and New Year, let s cheer this moment with bombcrypto, join the…;retweeted;lbazri_adnane;3;0;6
738049219634823168;2021-12-29 23:59:58+00:00; ;1476342261587886081;en;0;0;0;13;Twitter for Android;RT @AmericanGayBoys: ❤️ Belami Xmas Sale 50% OFF ❤️ on ⏩ https://t.co/NfYhmx9HRD ⏪ Also visit Euroboys on https://t.co/FdHjNNtVXS [#RT] htt…;retweeted;benenz0;13018;136;147
174619364;2021-12-29 23:59:58+00:00; ;1476342260778340353;en;0;0;0;46059;Twitter Web App;RT @BombCryptoGame: ✨🎄Lucky Xmas Gift Event🎄✨  On the occasion of Christmas and New Year, let s cheer this moment with bombcrypto, join the…;retweeted;fillipefrs;12053;110;179
249155765;2021-12-29 23:59:58+00:00; ;1476342257762856961;en;0;0;0;1461;Twitter for Android;RT @king_maoh: Last year s xmas party at the Boar Hat! 🎅🍺 #NanatsuNoTaizai https://t.co/GMlzP5jLFj;retweeted;Eveen2;3320;258;2447
1385960446843314176;2021-12-29 23:59:57+00:00; ;1476342257221615617;en;0;0;0;0;Radio.co now playing;PARTY MIX ONE RADIO XMAS EVE;;RIllumini;4343;15;4
1259538225263239169;2021-12-29 23:59:56+00:00; ;1476342249923436549;en;0;0;0;1;Twitter for iPhone;RT @adjstreams: Back for a shorter post-Xmas stream on Thursday, where @cinegamerz, my chat and I will finish voting on the best Christmas…;retweeted;cinegamerz;1326;151;199
893742552;2021-12-29 23:59:54+00:00; ;1476342241505726465;en;0;0;0;7;Twitter for Android;RT @pornagotchi: #denial &amp  #chastity will be my Xmas gifts this year 🎁🎄 ... again 😳 https://t.co/VSHoeo5qpl;retweeted;erozamurai11;52400;474;5
1283731859533205505;2021-12-29 23:59:53+00:00; ;1476342240259706881;en;0;0;0;47;Twitter for iPhone;RT @jisooschild: you didn t even watch the show so why are you speaking on it? also, if jtbc + the court itself approved of this drama then…;retweeted;onewaytiket;2436;24;40
1196431555683635200;2021-12-29 23:59:53+00:00; ;1476342240071106567;en;0;0;0;5;Twitter for iPhone;RT @GNDiscography: #TubewayArmy #GaryNuman I will be playing the second part of my playlist with YouTube links this Friday, New Years Eve a…;retweeted;Wayne_Gibson67;23667;2746;2414
1049414592160563203;2021-12-29 23:59:52+00:00; ;1476342233372704770;en;7;0;0;4;Twitter for iPhone;#MMBR🏀Boo Williams XMas #MajorBallers Day #1 It’s a Grand Environment and it feels good that Basketball is Back‼️  @BatsonBBall @MMBR_CoachKWill @mmbrmedia @CoachGarrisjr @SquadUpRecruits @sharneezoll @CoachRMosley @CoachSRobinson @CoachLBarrett @coachkent02 @BWSLGirlsAAU https://t.co/ls6vNswSMO;;MMBR_CoachGBell;16139;4031;815
2906875600;2021-12-29 23:59:50+00:00; ;1476342226787741697;en;0;0;0;10;Twitter for iPhone;RT @Debbiepawsrescu: One of the best Xmas messages I have seen this year. Swipe to see what Mae looked like when two person found her in th…;retweeted;MochalesAna;78090;951;1151
1418558230981005313;2021-12-29 23:59:50+00:00; ;1476342226783375362;en;0;0;0;1461;Twitter for Android;RT @king_maoh: Last year s xmas party at the Boar Hat! 🎅🍺 #NanatsuNoTaizai https://t.co/GMlzP5jLFj;retweeted;Nanno73683;321;2;50
3008557864;2021-12-29 23:59:47+00:00; ;1476342214255161346;en;8;0;1;0;Twitter for iPhone;just finished to watch #해피뉴이어 and it was such a nice and warm movie. i enjoyed it even if xmas movies aren’t my type 🥺;;dongwooksaurus;30725;435;101
1224661596;2021-12-29 23:59:46+00:00; ;1476342210010521602;en;1;0;0;0;Twitter Web App;@takeitev Haha I just got my pinecil for xmas and so frr it s great for my use case;replied_to;thalass_sp;11589;158;679
113290445;2021-12-29 23:59:45+00:00; ;1476342206093053953;en;0;0;0;3929;Twitter for Android;RT @kucoincom: #MerryChristmas! Get Your Free Trial Bot Worth $1,200!  🤖 Activity details: https://t.co/lu3GFFlSBY  💰 Extra bonus: We are g…;retweeted;edza04;26;1;95
